fullname,wikipediaurl
Carolyn Murphy,https://en.wikipedia.org/wiki/Carolyn_Murphy
2 Chainz,https://en.wikipedia.org/wiki/2_Chainz
21 Savage,https://en.wikipedia.org/wiki/21_Savage
3For3,https://en.wikipedia.org/wiki/3for3
3OH!3,https://en.wikipedia.org/wiki/3OH!3
50 Cent,https://en.wikipedia.org/wiki/50_Cent
6IX9INE,https://en.wikipedia.org/wiki/6ix9ine
6LACK,https://en.wikipedia.org/wiki/6LACK
99 Percent,https://en.wikipedia.org/wiki/99_Percent
A Boogie wit da Hoodie,https://en.wikipedia.org/wiki/A_Boogie_wit_da_Hoodie
A R I Z O N A,https://en.wikipedia.org/wiki/Arizona_(American_band)
A$AP Ferg,https://en.wikipedia.org/wiki/ASAP_Ferg
A$AP Nast,https://en.wikipedia.org/wiki/ASAP_Nast
A$AP Rocky,https://en.wikipedia.org/wiki/ASAP_Rocky
A. J. Calloway,https://en.wikipedia.org/wiki/A._J._Calloway
A. J. McLean,https://en.wikipedia.org/wiki/A._J._McLean
A. R. Rahman,https://en.wikipedia.org/wiki/A._R._Rahman
A. R. Rahman_Test,https://en.wikipedia.org/wiki/A._R._Rahman
A.B. Quintanilla,https://en.wikipedia.org/wiki/A.B._Quintanilla
A.J. Bouye,https://en.wikipedia.org/wiki/A._J._Bouye
A.J. Cann,https://en.wikipedia.org/wiki/A._J._Cann
A.J. Cole,https://en.wikipedia.org/wiki/A._J._Cole
A.J. Derby,https://en.wikipedia.org/wiki/A._J._Derby
A.J. Ellis,https://en.wikipedia.org/wiki/A._J._Ellis
A.J. Francis,https://en.wikipedia.org/wiki/A._J._Francis
A.J. Green,https://en.wikipedia.org/wiki/A._J._Green
A.J. Greer,https://en.wikipedia.org/wiki/A.J._Greer
A.J. Griffin,https://en.wikipedia.org/wiki/A._J._Griffin
A.J. Klein,https://en.wikipedia.org/wiki/A._J._Klein
A.J. Minter,https://en.wikipedia.org/wiki/A._J._Minter
A.J. Pollock,https://en.wikipedia.org/wiki/A._J._Pollock
